Domain,Epsilon,Argmax_Accuracy_Under_Attack,VDS_Selective_Accuracy,VDS_Coverage,Mean_J_Baseline,Mean_J_VDS,SOC_Std_Baseline,SOC_Std_VDS
Classification (PGD),0.4,0.4475524475524476,0.4218369377106592,0.6895104895104895,,,,
Classification (PGD),1.0,0.03776223776223776,0.025787552857146023,0.9762237762237762,,,,
Energy (worst-case FDI),0.4,,,,1.7046397662991937,0.8211902354996343,2.2357053270109626,2.160874504943493
Energy (worst-case FDI),1.0,,,,3.2646729403890715,1.1265030466138097,2.6792235574078918,2.652584052731339
