,mean,std
Accuracy_Argmax,0.972027972027972,0.013082718135573254
F1_Argmax,0.9780315834208728,0.010229262035222796
ROC_AUC,0.9911111111111112,0.007790171345907664
Brier,0.02519839409919037,0.007731585791485232
ECE,0.35656730000780174,0.009417859317367423
VDS_Coverage,0.909090909090909,0.008564649450290814
VDS_Selective_Accuracy,0.9846500660598944,0.005334725622371468
VDS_Abstention_Rate,0.09090909090909094,0.008564649450290816
