,Accuracy_Argmax,Accuracy_Argmax,VDS_Coverage_Clean,VDS_Coverage_Clean,VDS_SelAcc_Clean,VDS_SelAcc_Clean,VDS_Abstain_Clean,VDS_Abstain_Clean,Acc_Argmax_PGD_0.2,Acc_Argmax_PGD_0.2,VDS_Coverage_PGD_0.2,VDS_Coverage_PGD_0.2,VDS_SelAcc_PGD_0.2,VDS_SelAcc_PGD_0.2,Acc_Argmax_PGD_0.4,Acc_Argmax_PGD_0.4,VDS_Coverage_PGD_0.4,VDS_Coverage_PGD_0.4,VDS_SelAcc_PGD_0.4,VDS_SelAcc_PGD_0.4
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
c_abstain,,,,,,,,,,,,,,,,,,,,
0.05,0.972027972027972,0.013082718135573239,0.883916083916084,0.015320910699445214,0.9890371261731818,0.008844470704246328,0.11608391608391608,0.015320910699445217,0.7692307692307693,0.03389985914277158,0.6587412587412588,0.06894409814750341,0.8685466963533788,0.016413501155719278,0.4475524475524476,0.0625473560139801,0.6265734265734266,0.05057254470423649,0.4159702438253904,0.07994590396090552
0.1,0.972027972027972,0.013082718135573239,0.902097902097902,0.01105691489569362,0.9860931019267068,0.006364499368914729,0.09790209790209792,0.01105691489569361,0.7692307692307693,0.03389985914277158,0.6895104895104895,0.05904848065058616,0.8600615378375371,0.013731692536328216,0.4475524475524476,0.0625473560139801,0.6601398601398601,0.04680615533057762,0.4170867939644246,0.07182539358966604
0.15,0.972027972027972,0.013082718135573239,0.909090909090909,0.008564649450290798,0.9846500660598944,0.005334725622371458,0.09090909090909094,0.008564649450290814,0.7692307692307693,0.03389985914277158,0.7090909090909091,0.0505725447042365,0.8513520174574907,0.014732445144378471,0.4475524475524476,0.0625473560139801,0.6895104895104895,0.06718383845860393,0.4218369377106592,0.06979177931295055
0.25,0.972027972027972,0.013082718135573239,0.9258741258741259,0.014501007939390027,0.9848913472397982,0.005361911110497113,0.07412587412587412,0.01450100793939002,0.7692307692307693,0.03389985914277158,0.7538461538461538,0.05817240375688229,0.8380702374847482,0.009051055284547947,0.4475524475524476,0.0625473560139801,0.7482517482517482,0.05256397335095425,0.4320017465039717,0.0589527162938907
0.4,0.972027972027972,0.013082718135573239,0.951048951048951,0.017828739558016733,0.9822938883155601,0.008567148349703124,0.04895104895104894,0.017828739558016733,0.7692307692307693,0.03389985914277158,0.8125874125874126,0.044612973168493913,0.829070955622119,0.020959006394966444,0.4475524475524476,0.0625473560139801,0.8041958041958042,0.037332441440668905,0.4437073997301354,0.05600100947166812
