,Accuracy_Argmax,Accuracy_Argmax,VDS_Coverage_Clean,VDS_Coverage_Clean,VDS_SelAcc_Clean,VDS_SelAcc_Clean,VDS_Abstain_Clean,VDS_Abstain_Clean,Acc_Argmax_PGD_0.2,Acc_Argmax_PGD_0.2,VDS_Coverage_PGD_0.2,VDS_Coverage_PGD_0.2,VDS_SelAcc_PGD_0.2,VDS_SelAcc_PGD_0.2,Acc_Argmax_PGD_0.4,Acc_Argmax_PGD_0.4,VDS_Coverage_PGD_0.4,VDS_Coverage_PGD_0.4,VDS_SelAcc_PGD_0.4,VDS_SelAcc_PGD_0.4
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
beta,,,,,,,,,,,,,,,,,,,,
0.1,0.972027972027972,0.013082718135573239,0.9244755244755245,0.01594650944194599,0.9848678592773789,0.005363036231782446,0.07552447552447553,0.01594650944194599,0.7692307692307693,0.03389985914277158,0.758041958041958,0.055196048281597555,0.8373161064207377,0.010538629621600364,0.4475524475524476,0.0625473560139801,0.7454545454545455,0.052470857293158264,0.4281198163734289,0.0560352356479599
0.25,0.972027972027972,0.013082718135573239,0.9216783216783216,0.016695575365473187,0.9848215951089772,0.005404460333821622,0.07832167832167836,0.01669557536547319,0.7692307692307693,0.03389985914277158,0.7370629370629371,0.06266452256564994,0.8420307675088369,0.009022458698321823,0.4475524475524476,0.0625473560139801,0.7188811188811188,0.051955736002815944,0.4258472773762013,0.060316209381609164
0.5,0.972027972027972,0.013082718135573239,0.909090909090909,0.008564649450290798,0.9846500660598944,0.005334725622371458,0.09090909090909094,0.008564649450290814,0.7692307692307693,0.03389985914277158,0.7090909090909091,0.0505725447042365,0.8513520174574907,0.014732445144378471,0.4475524475524476,0.0625473560139801,0.6895104895104895,0.06718383845860393,0.4218369377106592,0.06979177931295055
0.75,0.972027972027972,0.013082718135573239,0.9048951048951048,0.01270342805915028,0.9861521859872111,0.006293717472522283,0.09510489510489513,0.01270342805915029,0.7692307692307693,0.03389985914277158,0.6923076923076923,0.059131239598908245,0.8584826950080284,0.009851037411397036,0.4475524475524476,0.0625473560139801,0.6727272727272727,0.053577570096162104,0.4227623655458707,0.07342470299035696
1.0,0.972027972027972,0.013082718135573239,0.8951048951048952,0.006993006993006978,0.9875238433131905,0.006906407709260456,0.1048951048951049,0.006993006993006978,0.7692307692307693,0.03389985914277158,0.6741258741258741,0.0664519665354103,0.8678213411727956,0.01683353018681887,0.4475524475524476,0.0625473560139801,0.648951048951049,0.050765570385682635,0.4218928801769909,0.07464191655759475
