,CostOverhead_pct,CostOverhead_pct,SOC_Std_Baseline_Clean,SOC_Std_Baseline_Clean,SOC_Std_VDS_Clean,SOC_Std_VDS_Clean,MeanJ_Baseline_Clean,MeanJ_Baseline_Clean,MeanJ_VDS_Clean,MeanJ_VDS_Clean,DecVar_Baseline_Clean,DecVar_Baseline_Clean,DecVar_VDS_Clean,DecVar_VDS_Clean,MeanJ_Baseline_worst_0.4,MeanJ_Baseline_worst_0.4,MeanJ_VDS_worst_0.4,MeanJ_VDS_worst_0.4,SOC_Std_VDS_worst_0.4,SOC_Std_VDS_worst_0.4,JReduction_pct_0.4,JReduction_pct_0.4
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
delta,,,,,,,,,,,,,,,,,,,,,,
0.1,0.3077522901074836,0.024448369972289774,1.2846909313499133,0.04915154329077857,1.0957746392246333,0.06686926546699293,0.7108395934922256,0.0058341423317927665,0.9859161258423095,0.005043494305508215,0.3812409787930265,0.006130406918267582,0.3774755698685778,0.004616825194365265,1.7046397662991937,0.00656982122652728,1.0972616640710628,0.008277535546448875,2.160874504943493,0.04194652502744078,35.63144386777388,0.2882545737214399
0.25,0.3077522901074836,0.024448369972289774,1.2846909313499133,0.04915154329077857,1.0957746392246333,0.06686926546699293,0.7108395934922256,0.0058341423317927665,0.8844726734613572,0.005145229094657445,0.3812409787930265,0.006130406918267582,0.3774755698685778,0.004616825194365265,1.7046397662991937,0.00656982122652728,0.9937348783567771,0.00832365522951658,2.160874504943493,0.04194652502744078,41.70475793875181,0.3064755656556279
0.5,0.3077522901074836,0.024448369972289774,1.2846909313499133,0.04915154329077857,1.0957746392246333,0.06686926546699293,0.7108395934922256,0.0058341423317927665,0.7154002528264365,0.005368748641164614,0.3812409787930265,0.006130406918267582,0.3774755698685778,0.004616825194365265,1.7046397662991937,0.00656982122652728,0.8211902354996343,0.00840062686501988,2.160874504943493,0.04194652502744078,51.826948057048355,0.3389699189096584
0.75,0.3077522901074836,0.024448369972289774,1.2846909313499133,0.04915154329077857,1.0957746392246333,0.06686926546699293,0.7108395934922256,0.0058341423317927665,0.5463278321915158,0.0056525805349718445,0.3812409787930265,0.006130406918267582,0.3774755698685778,0.004616825194365265,1.7046397662991937,0.00656982122652728,0.6486455926424914,0.00847772725834098,2.160874504943493,0.04194652502744078,61.94913817534491,0.3735162815502687
1.0,0.3077522901074836,0.024448369972289774,1.2846909313499133,0.04915154329077857,1.0957746392246333,0.06686926546699293,0.7108395934922256,0.0058341423317927665,0.37725541155659525,0.005988154693519102,0.3812409787930265,0.006130406918267582,0.3774755698685778,0.004616825194365265,1.7046397662991937,0.00656982122652728,0.4761009497853486,0.008554952928241603,2.160874504943493,0.04194652502744078,72.07132829364146,0.4095957669660289
