,,seed,seed,Cost_Baseline,Cost_Baseline,Cost_VDS,Cost_VDS,CostAmplification_Baseline,CostAmplification_Baseline,CostAmplification_VDS,CostAmplification_VDS,PSI_Baseline,PSI_Baseline,PSI_VDS,PSI_VDS,Mean_J_Baseline,Mean_J_Baseline,Mean_J_VDS,Mean_J_VDS,SOC_Std_Baseline,SOC_Std_Baseline,SOC_Std_VDS,SOC_Std_VDS,DecVar_Baseline,DecVar_Baseline,DecVar_VDS,DecVar_VDS
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epsilon,attack,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,random,68.6,65.53472362038312,1049.4278045667093,5.411179267736218,1052.6573307118888,5.407081681471853,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7108395934922256,0.0058341423317927665,0.7154002528264365,0.005368748641164614,1.2846909313499133,0.04915154329077857,1.0957746392246333,0.06686926546699293,0.3812409787930265,0.006130406918267582,0.3774755698685778,0.004616825194365265
0.0,worst,68.6,65.53472362038312,1049.4278045667093,5.411179267736218,1052.6573307118888,5.407081681471853,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7108395934922256,0.0058341423317927665,0.7154002528264365,0.005368748641164614,1.2846909313499133,0.04915154329077857,1.0957746392246333,0.06686926546699293,0.3812409787930265,0.006130406918267582,0.3774755698685778,0.004616825194365265
0.1,random,68.6,65.53472362038312,1199.3654545486602,4.773374257250861,1202.6872382916515,4.465048452615105,1.1428918821258036,0.00568986959056068,1.1425423540996147,0.005769009864592899,0.9651785714285713,0.005029893982486808,0.9683035714285714,0.005825469979483105,0.8271763057230143,0.00562887297419216,0.6876898279848311,0.007423950117911309,1.4166631188075811,0.035509602431681137,1.2319595852504968,0.06233120462991064,0.3936668314785435,0.00736000732583836,0.38974064800642755,0.005374255997317744
0.1,worst,68.6,65.53472362038312,1348.995655831722,5.768787223089372,1352.09402143403,5.463751395775556,1.28546327041271,0.0015147706615675635,1.2844639223963685,0.001645893306347035,0.9645833333333332,0.0025558875055532258,0.965625,0.0008150633296207726,0.9524934570771206,0.006033038180862648,0.7306286669599236,0.005979569248995748,1.6015159851793794,0.015162022827926598,1.4274051736905382,0.039716465280343734,0.3863161617722406,0.006360110608165344,0.3859395321530152,0.00726342796606066
0.2,random,68.6,65.53472362038312,1353.4804053336775,10.923409979477865,1356.5596666827673,10.778965874114729,1.2897225089030673,0.005869925831090359,1.2886904755924142,0.005487108246549872,0.7785714285714286,0.010210003507687124,0.7921130952380953,0.011118471644356025,0.9478251903640631,0.0091616264882383,0.6642006662327902,0.0016324542672841074,1.5781424543381621,0.057823826010333514,1.412382229277025,0.07297222701824056,0.42434713883978326,0.0077441549194645215,0.421908668032646,0.008421763864071978
0.2,worst,68.6,65.53472362038312,1650.9268669231635,5.802973115876573,1653.8190136453263,5.8381971676800575,1.5731801140805763,0.0031577711357745875,1.57110062656874,0.0029571460113166845,0.647172619047619,0.005984844509580451,0.7139880952380953,0.0027134795429777443,1.199298873294386,0.00594014577155064,0.7534918746188961,0.005700749782564561,1.881163368665952,0.03677219352941082,1.7228678785542804,0.018876447965272627,0.3872437297402186,0.005779729230390976,0.3872666642748222,0.005901991886712395
0.3,random,68.6,65.53472362038312,1508.9818784397971,20.207354563251283,1511.8281986970728,19.88287081214328,1.4378676842867968,0.012962398356243385,1.4361601976711307,0.012442521168266583,0.6059523809523809,0.008686576709938281,0.612797619047619,0.01323275669055842,1.069207401964984,0.01929735575031352,0.6431540100941142,0.01470030807014469,1.671052560812265,0.052606779284114266,1.5246359731065104,0.08213709035560206,0.47690182895380867,0.008885983703793222,0.47772901861724726,0.007661488987588228
0.3,worst,68.6,65.53472362038312,1955.8660813737679,6.161871478982934,1957.8089819689776,6.168861211110411,1.8637620498503153,0.004501721047425609,1.8598894348347208,0.004381157323101728,0.32782738095238095,0.005432057216798782,0.32529761904761906,0.004122587850355669,1.4503149576140208,0.006014399241345603,0.7846397768530669,0.007691037386411128,2.087255213774764,0.04608812308058961,1.9800608737055545,0.05144182536955374,0.38309706395218945,0.00819761954633703,0.3870287417715114,0.007071386520172164
0.4,random,68.6,65.53472362038312,1688.9988081653505,12.408410239055305,1691.8675762628627,12.075907276829206,1.6095168773402908,0.0187396325357669,1.6073029943768133,0.018376952957708283,0.4711309523809524,0.010139269884588189,0.47574404761904765,0.012015850737015691,1.2124403578608387,0.010012129055259538,0.6327273502873445,0.007413183948477192,1.7841390659883865,0.08220960877940382,1.6347765077230523,0.0729656194341773,0.5443896101009805,0.008418043359702733,0.5444715322726854,0.010484327493554947
0.4,worst,68.6,65.53472362038312,2263.4375458786526,6.482500587714399,2264.97309097125,6.494383848019421,2.156852548363812,0.005913067478620697,2.1516935392802803,0.0057163040848762225,0.09836309523809524,0.007297737997166211,0.09627976190476191,0.010237078610931665,1.7046397662991937,0.00656982122652728,0.8211902354996343,0.00840062686501988,2.2357053270109626,0.03227168984624702,2.160874504943493,0.04194652502744078,0.37690839950916855,0.008136263060144484,0.38130632439541773,0.007016302662773145
0.5,random,68.6,65.53472362038312,1851.8789095464501,20.242283240580047,1854.2051175014517,20.216243838901025,1.7646357132428911,0.014159714360596385,1.7614340738405114,0.01446294425611154,0.4008928571428571,0.01507867159798449,0.40580357142857143,0.012904454398023093,1.3411142053173841,0.019591169413281123,0.618164452387577,0.02298762213935305,1.905241391195333,0.03386348387830783,1.7752728064783008,0.045342083551157694,0.6000941227902921,0.011586611229866525,0.6036324684809913,0.012964632362070318
0.5,worst,68.6,65.53472362038312,2572.765705405214,6.981695096020889,2574.112988679968,6.998337067667661,2.4516168593967853,0.007397155673105352,2.445374638157619,0.0072123693186751945,0.04136904761904762,0.0008483448103416232,0.040773809523809525,0.0030405977294200217,1.9617567992323146,0.00688670963206037,0.8647860506506962,0.009559170997784458,2.3461763234460493,0.023132608242206847,2.2878852010846455,0.024623428134926233,0.3717132967103046,0.00913658833688287,0.3760741837750352,0.008077924723374541
0.6,random,68.6,65.53472362038312,2039.7532301289436,24.79777854013676,2041.7597921812317,24.903164731314842,1.943699200665953,0.023348083111668846,1.9396455199559508,0.023737374400365677,0.34538690476190476,0.00680712084016826,0.3480654761904762,0.009042551251440115,1.49185047983345,0.019192366187894768,0.6193495248682105,0.009634069229282453,1.946627411835793,0.05229920376154116,1.8458435312566295,0.0544837794424934,0.6783371238441627,0.02188063846808495,0.6825996935844766,0.02031335636484647
0.6,worst,68.6,65.53472362038312,2883.6743138625534,7.523560422732021,2884.770352460194,7.506021525857779,2.7478874729730856,0.008989534527361917,2.7404971115551047,0.008594173906212501,0.04047619047619048,0.004095642543012761,0.042261904761904764,0.0029481566601427017,2.2195594959935026,0.00704907660123604,0.9098384201328471,0.009625527809189082,2.434594827720221,0.01900447687564059,2.3909905082402747,0.02355708969139116,0.36672411917926545,0.00900451493535106,0.37077897561172285,0.008623684629800964
