epsilon,ASR_Argmax_Random,ASR_VDS_Random,Acc_Argmax_Random,VDS_Coverage_Random,VDS_SelAcc_Random,ASR_Argmax_PGD,ASR_VDS_PGD,Acc_Argmax_PGD,VDS_Coverage_PGD,VDS_SelAcc_PGD,seed
0.0,0.0,0.0,0.958041958041958,0.9090909090909091,0.9846153846153847,0.0,0.0,0.958041958041958,0.9090909090909091,0.9846153846153847,11
0.1,0.013986013986013986,0.013986013986013986,0.9440559440559441,0.8951048951048951,0.984375,0.06293706293706294,0.11888111888111888,0.8951048951048951,0.8601398601398601,0.943089430894309,11
0.2,0.013986013986013986,0.02097902097902098,0.958041958041958,0.8881118881118881,0.9921259842519685,0.13986013986013987,0.3146853146853147,0.8181818181818182,0.7762237762237763,0.8648648648648649,11
0.3,0.02097902097902098,0.055944055944055944,0.965034965034965,0.9230769230769231,0.9848484848484849,0.2867132867132867,0.42657342657342656,0.6713286713286714,0.7482517482517482,0.7476635514018691,11
0.4,0.02097902097902098,0.09090909090909091,0.951048951048951,0.916083916083916,0.9770992366412213,0.4125874125874126,0.6083916083916084,0.5454545454545454,0.7132867132867133,0.5294117647058824,11
0.5,0.027972027972027972,0.0979020979020979,0.9440559440559441,0.9090909090909091,0.9769230769230769,0.5874125874125874,0.7342657342657343,0.3706293706293706,0.7062937062937062,0.3564356435643564,11
0.6,0.04195804195804196,0.08391608391608392,0.958041958041958,0.8951048951048951,0.96875,0.7132867132867133,0.8181818181818182,0.24475524475524477,0.8041958041958042,0.20869565217391303,11
0.7,0.03496503496503497,0.13286713286713286,0.9230769230769231,0.8881118881118881,0.9448818897637795,0.7902097902097902,0.8741258741258742,0.16783216783216784,0.8671328671328671,0.12903225806451613,11
0.8,0.055944055944055944,0.11188811188811189,0.916083916083916,0.916083916083916,0.9389312977099237,0.8461538461538461,0.9300699300699301,0.11188811188811189,0.8881118881118881,0.06299212598425197,11
0.9,0.04895104895104895,0.13286713286713286,0.9230769230769231,0.8881118881118881,0.9448818897637795,0.8951048951048951,0.9440559440559441,0.06293706293706294,0.9370629370629371,0.04477611940298507,11
1.0,0.1048951048951049,0.14685314685314685,0.8811188811188811,0.8811188811188811,0.9285714285714286,0.916083916083916,0.958041958041958,0.04195804195804196,0.9790209790209791,0.02857142857142857,11
0.0,0.0,0.0,0.986013986013986,0.916083916083916,0.9847328244274809,0.0,0.0,0.986013986013986,0.916083916083916,0.9847328244274809,23
0.1,0.0,0.013986013986013986,0.986013986013986,0.9300699300699301,0.9849624060150376,0.08391608391608392,0.11888111888111888,0.9020979020979021,0.7972027972027972,0.9824561403508771,23
0.2,0.0,0.04895104895104895,0.986013986013986,0.9230769230769231,0.9848484848484849,0.20279720279720279,0.40559440559440557,0.7832167832167832,0.6783216783216783,0.8556701030927835,23
