,CostOverhead_pct,CostOverhead_pct,SOC_Std_Baseline_Clean,SOC_Std_Baseline_Clean,SOC_Std_VDS_Clean,SOC_Std_VDS_Clean,MeanJ_Baseline_Clean,MeanJ_Baseline_Clean,MeanJ_VDS_Clean,MeanJ_VDS_Clean,DecVar_Baseline_Clean,DecVar_Baseline_Clean,DecVar_VDS_Clean,DecVar_VDS_Clean,MeanJ_Baseline_worst_0.4,MeanJ_Baseline_worst_0.4,MeanJ_VDS_worst_0.4,MeanJ_VDS_worst_0.4,SOC_Std_VDS_worst_0.4,SOC_Std_VDS_worst_0.4,JReduction_pct_0.4,JReduction_pct_0.4
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
beta,,,,,,,,,,,,,,,,,,,,,,
0.1,0.3077522901074836,0.024448369972289774,1.2846909313499133,0.04915154329077857,1.0957746392246333,0.06686926546699293,0.7108395934922256,0.0058341423317927665,0.5518799757419338,0.005396784573185828,0.3812409787930265,0.006130406918267582,0.3774755698685778,0.004616825194365265,1.7046397662991937,0.00656982122652728,0.6678816090089341,0.008392253001301057,2.160874504943493,0.04194652502744078,60.82067594912861,0.3630231907728549
0.2,0.3077522901074836,0.024448369972289774,1.2846909313499133,0.04915154329077857,1.0957746392246333,0.06686926546699293,0.7108395934922256,0.0058341423317927665,0.617288086575735,0.005383585925488763,0.3812409787930265,0.006130406918267582,0.3774755698685778,0.004616825194365265,1.7046397662991937,0.00656982122652728,0.7292116407007347,0.00839868462314175,2.160874504943493,0.04194652502744078,57.22279970344955,0.35319808654050633
0.35,0.3077522901074836,0.024448369972289774,1.2846909313499133,0.04915154329077857,1.0957746392246333,0.06686926546699293,0.7108395934922256,0.0058341423317927665,0.7154002528264365,0.005368748641164614,0.3812409787930265,0.006130406918267582,0.3774755698685778,0.004616825194365265,1.7046397662991937,0.00656982122652728,0.8211902354996343,0.00840062686501988,2.160874504943493,0.04194652502744078,51.826948057048355,0.3389699189096584
0.55,0.3077522901074836,0.024448369972289774,1.2846909313499133,0.04915154329077857,1.0957746392246333,0.06686926546699293,0.7108395934922256,0.0058341423317927665,0.8462164744940388,0.005358297324893196,0.3812409787930265,0.006130406918267582,0.3774755698685778,0.004616825194365265,1.7046397662991937,0.00656982122652728,0.9438427472063389,0.008418062363211902,2.160874504943493,0.04194652502744078,44.63163744752278,0.3225426383363344
0.8,0.3077522901074836,0.024448369972289774,1.2846909313499133,0.04915154329077857,1.0957746392246333,0.06686926546699293,0.7108395934922256,0.0058341423317927665,1.0097367515785414,0.00536030713711487,0.3812409787930265,0.006130406918267582,0.3774755698685778,0.004616825194365265,1.7046397662991937,0.00656982122652728,1.0971723087561487,0.008456355467116778,2.160874504943493,0.04194652502744078,35.636684553047644,0.3061127863777015
