epsilon,attack,seed,Cost_Baseline,Cost_VDS,CostAmplification_Baseline,CostAmplification_VDS,PSI_Baseline,PSI_VDS,Mean_J_Baseline,Mean_J_VDS,SOC_Std_Baseline,SOC_Std_VDS,DecVar_Baseline,DecVar_VDS
0.0,random,11,1051.4505432203107,1054.2978583767767,1.0,1.0,1.0,1.0,0.7138006443713293,0.717903309418303,1.336687431630256,1.1987285553185922,0.3728249396320312,0.37052316545283365
0.0,worst,11,1051.4505432203107,1054.2978583767767,1.0,1.0,1.0,1.0,0.7138006443713293,0.717903309418303,1.336687431630256,1.1987285553185922,0.3728249396320312,0.37052316545283365
0.1,random,11,1199.3157153862567,1202.6280898463901,1.140629697820189,1.1406910108856583,0.9717261904761905,0.9761904761904762,0.8285622122604518,0.6904491065467371,1.4513772653922306,1.289182610238857,0.3807885676059414,0.3801332071518478
0.1,worst,11,1350.9110115787935,1354.0189086791663,1.2848069938138182,1.284284984476633,0.9635416666666666,0.9642857142857143,0.9546950347162989,0.7319574083804251,1.6213349305261189,1.4581331221177372,0.3774545977859597,0.37741102806516114
0.2,random,11,1349.2875889986578,1352.4517507013707,1.2832630100376878,1.2827985373921171,0.7752976190476191,0.7879464285714286,0.9453430388275957,0.6626219303193244,1.5975289731953835,1.4560570658824235,0.4123195537165581,0.40760366298597633
0.2,worst,11,1652.0240500101481,1655.5384686133411,1.5711856926246308,1.5702758527483396,0.6495535714285714,0.7127976190476191,1.1986334201833517,0.7532800326021478,1.9157685813527108,1.7373466721090216,0.379604120378936,0.37893235974763784
0.3,random,11,1506.0842667687539,1508.9053672706018,1.4323871688306158,1.4311945673433788,0.6019345238095238,0.6041666666666666,1.0662177800181314,0.6399764002445633,1.7012817902111381,1.570519901391369,0.46956842508670604,0.4702199770927883
0.3,worst,11,1956.192065977528,1957.9126730181388,1.8604698800061836,1.8570773500693531,0.32961309523809523,0.31994047619047616,1.449414778841557,0.7804141708992877,2.1413402768868575,2.0405860442439594,0.3790309392916634,0.3840615130941455
0.4,random,11,1674.633710510263,1677.9659212990894,1.5926889964613167,1.591548259314998,0.4836309523809524,0.4955357142857143,1.2009731282557916,0.6349620946138024,1.699448761510125,1.5514934179710593,0.5343981687985122,0.5322683353887918
0.4,worst,11,2263.1385828694447,2264.4839178371394,2.152396608154349,2.1478597341775836,0.09821428571428571,0.09151785714285714,1.7043459239134573,0.8159419639226163,2.280876216224754,2.213167802775175,0.3739820044037899,0.376514542903345
0.5,random,11,1879.4932159928499,1882.1630605416767,1.787524128559073,1.7852289517494628,0.3757440476190476,0.38467261904761907,1.364910728324691,0.6332775953829356,1.872471388936013,1.7399023714362727,0.5957688957895841,0.5949261556054184
0.5,worst,11,2571.5527006407883,2572.837373468774,2.445719123188441,2.4403325426744,0.04241071428571429,0.03720238095238095,1.9612089252654714,0.8575457468253596,2.3771969108731534,2.3246734730228393,0.3697565370834817,0.3758943359559174
0.6,random,11,2064.9200316774113,2066.97401013355,1.9638774690753553,1.9605218712251913,0.3400297619047619,0.33556547619047616,1.509643310484611,0.6053106967355978,1.983051569065331,1.8725617405363386,0.6943089196467527,0.6990101527774799
0.6,worst,11,2881.480917397983,2882.514512901289,2.740481647926854,2.7340608633496424,0.044642857142857144,0.03720238095238095,2.2185589823406056,0.9038280627588022,2.4502818583962505,2.4148365502269384,0.3688604137976175,0.37341281061519277
0.7,random,11,2187.5422425928973,2189.5933561194306,2.080499417398219,2.0768261442649454,0.3117559523809524,0.30505952380952384,1.6158011048136143,0.6479939708027708,1.9615411782128567,1.8640598579927812,0.736456904887238,0.7382099387555824
0.7,worst,11,3193.0965570689123,3194.198161855764,3.0368490250519202,3.029692355416173,0.046130952380952384,0.03943452380952381,2.476658856997033,0.9532671333689089,2.510802307365984,2.4735960672958526,0.3700948430864316,0.3708439823870454
0.8,random,11,2345.45541158553,2347.3322803874617,2.230685434240235,2.2264412867170886,0.27306547619047616,0.27157738095238093,1.7468060140544726,0.6679035609627288,2.049082882166331,1.984595291682283,0.7957289829483143,0.7967608043942673
0.8,worst,11,3506.501042779336,3507.623530930979,3.334917714759902,3.3269758665083544,0.047619047619047616,0.041666666666666664,2.736205346118032,1.0048840963552144,2.564153921252126,2.53568973567789,0.3686076348761909,0.37178176516422323
0.9,random,11,2586.148382794992,2588.029465770692,2.4596005960245297,2.4547422203392184,0.23363095238095238,0.22470238095238096,1.9308338344874518,0.6235576138353844,2.2089818855530967,2.117782764765201,0.8902949808144026,0.8902622871234539
0.9,worst,11,3821.069820504068,3822.37284874374,3.634093724276519,3.625515141071007,0.046130952380952384,0.043154761904761904,2.9980665400398316,1.0645235076597435,2.6150866470760024,2.588826817242452,0.3697418581255147,0.3711726227568433
1.0,random,11,2719.73805949016,2721.886577044242,2.5866533400233287,2.5817054975668134,0.20982142857142858,0.20833333333333334,2.037490412657984,0.6189785460505336,2.1403629417477052,2.0676028554142145,0.9530104407811402,0.956568429980548
1.0,worst,11,4137.054961994071,4138.151801667185,3.934616790746413,3.9250310230529983,0.04836309523809524,0.046875,3.2623172446982225,1.128456116898335,2.6647314339847368,2.6362832511074936,0.36660232185159586,0.36793133235479364
0.0,random,23,1041.0460149570508,1044.3468441258765,1.0,1.0,1.0,1.0,0.7013638478517878,0.7071680362214497,1.2198038616594362,1.0185399929519812,0.3799615377487725,0.3770949713761239
0.0,worst,23,1041.0460149570508,1044.3468441258765,1.0,1.0,1.0,1.0,0.7013638478517878,0.7071680362214497,1.2198038616594362,1.0185399929519812,0.3799615377487725,0.3770949713761239
0.1,random,23,1192.4583936594167,1196.4393674553894,1.1454425419500909,1.1456341101473957,0.9635416666666666,0.9694940476190477,0.8184380011502063,0.6766432149907525,1.3908631060909609,1.152404681331596,0.3984204407569096,0.391964826045673
0.1,worst,23,1340.3347440485659,1344.1599977343749,1.2874884729315854,1.2870819740537862,0.9605654761904762,0.9665178571428571,0.9427165531045677,0.72130527771281,1.5986537169807313,1.3698451216486551,0.3837671100635833,0.3805798338983504
0.2,random,23,1336.555936731232,1339.8607097311324,1.2838586551684485,1.282965249780213,0.7953869047619048,0.8110119047619048,0.9332384479495078,0.6644027300059558,1.4954822387601758,1.314075988560527,0.42314216278594474,0.42153668773779995
0.2,worst,23,1642.511797177026,1645.4097740541654,1.577751390023609,1.5755395664850997,0.6488095238095238,0.7172619047619048,1.190982900767065,0.7453055814899558,1.8981326784950405,1.7358425038488452,0.38513790517993957,0.3842824557972495
0.3,random,23,1478.4058304693074,1481.5903396385638,1.4201157386211216,1.418676513432338,0.6138392857142857,0.6242559523809523,1.0407913740987536,0.6221398312952438,1.6638713814082766,1.4903155501613614,0.4756047875344468,0.47455838885715673
0.3,worst,23,1947.7625211642194,1949.5447657195234,1.8709667903052065,1.8667598573070827,0.3333333333333333,0.33035714285714285,1.442507997244638,0.7748077590207623,2.1157822894903253,2.0044754021416717,0.3780672656552091,0.38176987505528037
0.4,random,23,1698.9195736498243,1701.9771215960188,1.6319351395047745,1.6297048544447723,0.46577380952380953,0.4732142857142857,1.2185364791248088,0.6259411408279086,1.9086335503832046,1.7273859671449916,0.5513561522003583,0.556056845257932
0.4,worst,23,2255.69452235844,2256.9887142209445,2.1667577512906577,2.16114859437341,0.10788690476190477,0.11160714285714286,1.6962225048968778,0.8102550901904673,2.2506907171064348,2.184624607819092,0.3748499399743038,0.38018522066205024
0.5,random,23,1832.3790424535832,1834.8235215198213,1.7601326128981718,1.7569101030372507,0.4107142857142857,0.4174107142857143,1.3219952604981646,0.6015909563531421,1.9322072034429285,1.7779749997019663,0.6143886261061607,0.6185058016345777
0.5,worst,23,2565.173980585646,2566.6243509362616,2.4640351566894707,2.4576359524354565,0.041666666666666664,0.04538690476190476,1.9537896925239524,0.8558171799401127,2.3603253412909084,2.2995724586690645,0.36921866811047094,0.3732937308683163
0.6,random,23,2013.1836466293978,2015.1710141185642,1.9338085134617735,1.929599371562493,0.3474702380952381,0.3541666666666667,1.469219373885041,0.6133666150332671,1.9621691935898604,1.8482783171247454,0.65141967403357,0.657027224760021
0.6,worst,23,2876.201434801291,2877.0755184328937,2.762799524207343,2.7549042108141957,0.043154761904761904,0.04389880952380952,2.211796279999132,0.8989380029246383,2.450441744314368,2.410046447733494,0.359860785977221,0.3629379795998073
0.7,random,23,2186.7624119306165,2188.819583635258,2.1005434731151946,2.0958741781494163,0.3013392857142857,0.30282738095238093,1.6057712267466393,0.5893915977523404,1.9207330450624165,1.8427614448631875,0.7356096583329035,0.7395707904523822
0.7,worst,23,3188.481356083877,3189.5757582991114,3.062766976938498,3.0541345303425533,0.044642857142857144,0.044642857142857144,2.4711909554240687,0.9475630027856045,2.527787345884188,2.4854195071621445,0.3541033324829118,0.35809940452602096
