Operating Point,c_abstain,alpha,delta,Coverage (clean),SelAcc (clean),SelAcc (PGD 0.2),SelAcc (PGD 0.4),Coverage (PGD 0.4)
High-precision,0.05,0.5,0.6,0.895,0.989,0.864,0.416,0.652
Balanced (default),0.15,0.3,0.4,0.909,0.985,0.851,0.422,0.69
High-coverage,0.4,0.05,0.25,0.957,0.981,0.824,0.441,0.82
